Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6
2011-01-01,1,1,2011,-0.01,0.04,0.101,-0.425,-2.591,4.485
2011-01-02,2,1,2011,-0.223,-0.044,0.123,-0.444,-2.603,4.491
2011-01-03,3,1,2011,-0.038,-0.053,0.157,-0.453,-2.611,4.498
2011-01-04,4,1,2011,-0.018,-0.009,0.189,-0.451,-2.616,4.504
2011-01-05,5,1,2011,0.015,0.035,0.19,-0.435,-2.617,4.511
2011-01-06,6,1,2011,0.142,0.023,0.136,-0.404,-2.614,4.518
2011-01-07,7,1,2011,-0.017,-0.065,0.025,-0.36,-2.608,4.525
2011-01-08,8,1,2011,-0.045,-0.067,-0.117,-0.304,-2.599,4.532
2011-01-09,9,1,2011,0.042,0.095,-0.254,-0.237,-2.586,4.539
2011-01-10,10,1,2011,-0.049,0.265,-0.331,-0.161,-2.57,4.546
2011-01-11,11,1,2011,-0.238,0.119,-0.305,-0.079,-2.551,4.554
2011-01-12,12,1,2011,0.457,-0.412,-0.187,0.008,-2.528,4.561
2011-01-13,13,1,2011,0.715,-0.871,-0.008,0.097,-2.502,4.569
2011-01-14,14,1,2011,0.459,-0.849,0.199,0.187,-2.473,4.577
2011-01-15,15,1,2011,-0.284,-0.243,0.409,0.274,-2.441,4.585
2011-01-16,16,1,2011,-1.977,0.834,0.598,0.358,-2.405,4.593
2011-01-17,17,1,2011,2.195,1.895,0.741,0.435,-2.367,4.601
2011-01-18,18,1,2011,2.703,2.297,0.814,0.504,-2.326,4.609
2011-01-19,19,1,2011,-2.954,1.657,0.799,0.562,-2.281,4.617
2011-01-20,20,1,2011,-1.834,0.424,0.711,0.607,-2.234,4.626
2011-01-21,21,1,2011,-0.751,-1.008,0.57,0.639,-2.184,4.634
2011-01-22,22,1,2011,1.183,-2.347,0.395,0.658,-2.131,4.643
2011-01-23,23,1,2011,2.424,-3.268,0.204,0.664,-2.076,4.652
2011-01-24,24,1,2011,2.734,-3.552,0.017,0.658,-2.018,4.66
2011-01-25,25,1,2011,2.947,-3.25,-0.151,0.641,-1.957,4.669
2011-01-26,26,1,2011,2.334,-2.434,-0.298,0.614,-1.893,4.678
2011-01-27,27,1,2011,1.36,-1.271,-0.425,0.576,-1.827,4.687
2011-01-28,28,1,2011,0.182,0.085,-0.534,0.53,-1.759,4.696
2011-01-29,29,1,2011,-0.816,1.448,-0.624,0.475,-1.688,4.706
2011-01-30,30,1,2011,-1.774,2.66,-0.699,0.413,-1.615,4.715
2011-01-31,31,1,2011,-1.668,3.498,-0.757,0.343,-1.54,4.724
