Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6
2006-03-18,18,3,2006,0.824,1.8,-1.8,-0.603,1.873,3.805
2006-03-19,19,3,2006,0.828,2.694,-2.015,-0.452,1.936,3.808
2006-03-20,20,3,2006,0.388,2.953,-2.154,-0.294,1.996,3.812
2006-03-21,21,3,2006,0.732,2.434,-2.203,-0.132,2.053,3.816
2006-03-22,22,3,2006,0.359,1.444,-2.165,0.035,2.107,3.819
2006-03-23,23,3,2006,0.532,0.329,-2.045,0.204,2.158,3.823
2006-03-24,24,3,2006,0.345,-0.799,-1.851,0.373,2.206,3.827
2006-03-25,25,3,2006,0.957,-1.89,-1.589,0.541,2.25,3.831
2006-03-26,26,3,2006,0.035,-2.803,-1.264,0.707,2.29,3.834
2006-03-27,27,3,2006,-0.309,-3.441,-0.884,0.869,2.327,3.838
2006-03-28,28,3,2006,-0.889,-3.683,-0.455,1.026,2.36,3.842
2006-03-29,29,3,2006,-1.998,-3.427,0.014,1.176,2.389,3.845
2006-03-30,30,3,2006,-2.067,-2.617,0.504,1.317,2.414,3.849
2006-03-31,31,3,2006,-0.53,-1.398,0.992,1.447,2.435,3.853
2006-04-02,2,4,2006,2.002,-0.033,1.456,1.567,2.452,3.857
2006-04-03,3,4,2006,0.881,1.249,1.873,1.673,2.465,3.86
2006-04-04,4,4,2006,-0.581,2.261,2.22,1.764,2.472,3.864
2006-04-05,5,4,2006,-1.32,2.861,2.477,1.839,2.476,3.868
2006-04-06,6,4,2006,-1.369,3.009,2.619,1.896,2.474,3.871
2006-04-07,7,4,2006,0.07,2.722,2.631,1.934,2.468,3.875
2006-04-08,8,4,2006,0.597,2.091,2.525,1.951,2.457,3.879
2006-04-09,9,4,2006,0.938,1.274,2.317,1.949,2.44,3.883
2006-04-10,10,4,2006,-0.103,0.449,2.02,1.928,2.419,3.886
2006-04-11,11,4,2006,-0.629,-0.297,1.652,1.891,2.393,3.89
2006-04-12,12,4,2006,-0.854,-0.866,1.227,1.837,2.363,3.894
2006-04-13,13,4,2006,-0.369,-1.183,0.76,1.768,2.327,3.897
2006-04-14,14,4,2006,0.902,-1.244,0.267,1.685,2.288,3.901
2006-04-15,15,4,2006,-0.638,-1.066,-0.236,1.59,2.245,3.905
2006-04-16,16,4,2006,-0.923,-0.738,-0.727,1.483,2.197,3.908
2006-04-17,17,4,2006,-0.088,-0.35,-1.186,1.366,2.146,3.912
2006-04-18,18,4,2006,0.335,0.007,-1.587,1.239,2.09,3.916
2006-04-19,19,4,2006,0.808,0.242,-1.906,1.105,2.032,3.919
2006-04-20,20,4,2006,0.565,0.306,-2.126,0.963,1.97,3.923
2006-04-21,21,4,2006,-0.05,0.246,-2.242,0.815,1.904,3.927
2006-04-22,22,4,2006,-0.483,0.108,-2.254,0.663,1.836,3.93
2006-04-23,23,4,2006,-0.508,-0.028,-2.169,0.507,1.765,3.934
2006-04-24,24,4,2006,-0.26,-0.123,-1.994,0.349,1.69,3.937
2006-04-25,25,4,2006,-0.264,-0.137,-1.743,0.189,1.614,3.941
2006-04-26,26,4,2006,-0.111,-0.065,-1.432,0.029,1.534,3.945
2006-04-27,27,4,2006,-0.193,0.101,-1.08,-0.129,1.453,3.948
2006-04-28,28,4,2006,0.387,0.276,-0.7,-0.283,1.369,3.952
2006-04-29,29,4,2006,-0.408,0.413,-0.31,-0.433,1.283,3.955
2006-04-30,30,4,2006,-0.197,0.544,0.075,-0.576,1.195,3.959
2006-05-02,2,5,2006,0.371,0.633,0.439,-0.712,1.106,3.962
2006-05-03,3,5,2006,0.128,0.662,0.767,-0.837,1.015,3.966
2006-05-04,4,5,2006,-0.174,0.59,1.043,-0.951,0.923,3.969
2006-05-05,5,5,2006,-0.228,0.419,1.26,-1.053,0.829,3.973
2006-05-06,6,5,2006,0.191,0.126,1.412,-1.14,0.734,3.976
2006-05-07,7,5,2006,-0.062,-0.243,1.499,-1.212,0.638,3.98
2006-05-08,8,5,2006,-0.133,-0.641,1.519,-1.27,0.542,3.983
2006-05-09,9,5,2006,0.105,-0.996,1.472,-1.312,0.445,3.987
2006-05-10,10,5,2006,-0.118,-1.238,1.359,-1.34,0.347,3.99
2006-05-11,11,5,2006,0.227,-1.097,1.182,-1.354,0.249,3.993
2006-05-12,12,5,2006,-0.416,-0.427,0.95,-1.355,0.151,3.997
2006-05-13,13,5,2006,0.44,0.469,0.682,-1.343,0.052,4.0
2006-05-14,14,5,2006,0.749,1.218,0.395,-1.319,-0.046,4.003
2006-05-15,15,5,2006,0.164,1.551,0.106,-1.285,-0.144,4.007
2006-05-16,16,5,2006,0.056,1.482,-0.167,-1.24,-0.241,4.01
2006-05-17,17,5,2006,-0.584,1.109,-0.415,-1.185,-0.338,4.013
2006-05-18,18,5,2006,-0.658,0.529,-0.631,-1.121,-0.434,4.016
2006-05-19,19,5,2006,-0.091,-0.143,-0.807,-1.049,-0.53,4.02
2006-05-20,20,5,2006,0.114,-0.811,-0.933,-0.969,-0.624,4.023
2006-05-21,21,5,2006,0.258,-1.383,-1.003,-0.882,-0.717,4.026
2006-05-22,22,5,2006,0.51,-1.734,-1.007,-0.789,-0.808,4.029
2006-05-23,23,5,2006,0.383,-1.784,-0.942,-0.691,-0.899,4.032
2006-05-24,24,5,2006,0.004,-1.547,-0.816,-0.589,-0.987,4.035
2006-05-25,25,5,2006,-0.544,-1.093,-0.645,-0.483,-1.074,4.038
2006-05-26,26,5,2006,-1.172,-0.494,-0.441,-0.376,-1.159,4.041
2006-05-27,27,5,2006,-0.163,0.149,-0.221,-0.267,-1.242,4.044
2006-05-28,28,5,2006,-0.014,0.746,0.002,-0.16,-1.323,4.047
2006-05-29,29,5,2006,0.173,1.219,0.213,-0.054,-1.401,4.05
2006-05-30,30,5,2006,1.887,1.491,0.397,0.049,-1.477,4.053
2006-05-31,31,5,2006,1.625,1.481,0.541,0.148,-1.551,4.056
2006-06-01,1,6,2006,-1.768,1.257,0.633,0.241,-1.622,4.059
2006-06-02,2,6,2006,-1.575,0.898,0.677,0.328,-1.691,4.062
2006-06-03,3,6,2006,-1.325,0.431,0.678,0.408,-1.756,4.065
2006-06-04,4,6,2006,-0.725,-0.045,0.642,0.479,-1.819,4.068
2006-06-05,5,6,2006,-0.151,-0.455,0.572,0.542,-1.879,4.07
2006-06-06,6,6,2006,0.098,-0.706,0.472,0.597,-1.935,4.073
2006-06-07,7,6,2006,0.174,-0.754,0.347,0.645,-1.988,4.076
2006-06-08,8,6,2006,-0.026,-0.602,0.203,0.685,-2.038,4.079
2006-06-09,9,6,2006,-0.013,-0.353,0.05,0.719,-2.084,4.081
2006-06-10,10,6,2006,0.073,-0.08,-0.096,0.746,-2.127,4.084
2006-06-11,11,6,2006,0.11,0.121,-0.218,0.768,-2.167,4.086
2006-06-12,12,6,2006,-0.073,0.204,-0.3,0.783,-2.203,4.089
2006-06-13,13,6,2006,-0.223,0.211,-0.337,0.794,-2.236,4.091
2006-06-14,14,6,2006,-0.097,0.203,-0.334,0.8,-2.266,4.094
2006-06-15,15,6,2006,0.011,0.186,-0.302,0.802,-2.292,4.096
2006-06-16,16,6,2006,0.212,0.157,-0.252,0.8,-2.316,4.099
2006-06-17,17,6,2006,-0.189,0.124,-0.195,0.794,-2.336,4.101
2006-06-18,18,6,2006,-0.067,0.068,-0.138,0.786,-2.353,4.103
2006-06-19,19,6,2006,0.055,0.015,-0.084,0.775,-2.367,4.106
2006-06-20,20,6,2006,0.167,-0.024,-0.036,0.763,-2.378,4.108
2006-06-21,21,6,2006,-0.056,-0.022,0.004,0.749,-2.386,4.11
2006-06-22,22,6,2006,-0.185,-0.006,0.034,0.735,-2.391,4.112
2006-06-23,23,6,2006,-0.014,0.021,0.051,0.721,-2.393,4.115
2006-06-24,24,6,2006,0.183,0.032,0.054,0.707,-2.393,4.117
2006-06-25,25,6,2006,-0.163,-0.003,0.044,0.694,-2.39,4.119
2006-06-26,26,6,2006,-0.01,-0.033,0.027,0.681,-2.384,4.121
2006-06-27,27,6,2006,0.109,-0.032,0.009,0.668,-2.376,4.123
2006-06-28,28,6,2006,-0.099,-0.01,-0.005,0.654,-2.366,4.125
2006-06-29,29,6,2006,-0.01,0.007,-0.01,0.64,-2.353,4.127
2006-06-30,30,6,2006,0.087,0.005,-0.006,0.624,-2.338,4.128
