Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6
2006-01-01,1,1,2006,-0.005,0.004,0.678,-0.463,-2.497,3.584
2006-01-02,2,1,2006,0.107,-0.008,0.717,-0.486,-2.515,3.585
2006-01-03,3,1,2006,-0.112,-0.001,0.762,-0.506,-2.531,3.587
2006-01-04,4,1,2006,-0.032,-0.002,0.812,-0.523,-2.543,3.589
2006-01-05,5,1,2006,0.144,-0.003,0.858,-0.537,-2.553,3.591
2006-01-06,6,1,2006,0.043,-0.023,0.892,-0.546,-2.56,3.593
2006-01-07,7,1,2006,-0.055,-0.04,0.913,-0.549,-2.564,3.595
2006-01-08,8,1,2006,-0.136,-0.066,0.916,-0.547,-2.565,3.598
2006-01-09,9,1,2006,-0.235,-0.057,0.892,-0.537,-2.563,3.6
2006-01-10,10,1,2006,-0.038,-0.024,0.839,-0.52,-2.558,3.602
2006-01-11,11,1,2006,0.056,0.031,0.756,-0.497,-2.551,3.604
2006-01-12,12,1,2006,0.147,0.112,0.642,-0.467,-2.54,3.606
2006-01-13,13,1,2006,0.25,0.203,0.496,-0.431,-2.527,3.609
2006-01-14,14,1,2006,0.154,0.314,0.322,-0.39,-2.51,3.611
2006-01-15,15,1,2006,0.066,0.431,0.123,-0.343,-2.491,3.614
2006-01-16,16,1,2006,-0.032,0.566,-0.091,-0.29,-2.469,3.616
2006-01-17,17,1,2006,-0.14,0.709,-0.31,-0.232,-2.445,3.618
2006-01-18,18,1,2006,0.03,0.857,-0.521,-0.17,-2.418,3.621
2006-01-19,19,1,2006,0.103,0.972,-0.708,-0.103,-2.388,3.623
2006-01-20,20,1,2006,-0.132,1.05,-0.857,-0.032,-2.355,3.626
2006-01-21,21,1,2006,-0.048,1.049,-0.953,0.043,-2.32,3.629
2006-01-22,22,1,2006,0.094,0.921,-0.986,0.121,-2.282,3.631
2006-01-23,23,1,2006,0.319,0.646,-0.959,0.201,-2.241,3.634
2006-01-24,24,1,2006,0.679,0.178,-0.877,0.281,-2.198,3.637
2006-01-25,25,1,2006,0.99,-0.492,-0.747,0.361,-2.152,3.639
2006-01-26,26,1,2006,1.217,-1.221,-0.573,0.44,-2.104,3.642
2006-01-27,27,1,2006,1.467,-1.711,-0.362,0.515,-2.054,3.645
2006-01-28,28,1,2006,0.813,-1.626,-0.122,0.587,-2.001,3.648
2006-01-29,29,1,2006,0.134,-1.026,0.133,0.653,-1.945,3.651
2006-01-30,30,1,2006,-1.057,-0.108,0.386,0.713,-1.887,3.653
2006-01-31,31,1,2006,-2.299,0.887,0.617,0.765,-1.827,3.656
2006-02-02,2,2,2006,2.281,1.704,0.812,0.808,-1.764,3.659
2006-02-03,3,2,2006,1.209,2.036,0.951,0.841,-1.699,3.662
2006-02-04,4,2,2006,0.345,1.938,1.021,0.863,-1.632,3.665
2006-02-05,5,2,2006,-0.402,1.505,1.018,0.872,-1.562,3.668
2006-02-06,6,2,2006,-1.162,0.861,0.952,0.868,-1.49,3.671
2006-02-07,7,2,2006,-0.156,0.114,0.834,0.85,-1.416,3.674
2006-02-08,8,2,2006,0.4,-0.628,0.672,0.818,-1.34,3.677
2006-02-09,9,2,2006,-0.161,-1.309,0.476,0.774,-1.261,3.681
2006-02-10,10,2,2006,0.096,-1.872,0.255,0.719,-1.181,3.684
2006-02-11,11,2,2006,-0.176,-1.983,0.019,0.652,-1.098,3.687
2006-02-12,12,2,2006,0.331,-1.559,-0.224,0.575,-1.014,3.69
2006-02-13,13,2,2006,0.33,-0.825,-0.459,0.488,-0.928,3.693
2006-02-14,14,2,2006,-0.395,0.019,-0.673,0.392,-0.84,3.696
2006-02-15,15,2,2006,0.309,0.808,-0.855,0.288,-0.75,3.7
2006-02-16,16,2,2006,0.268,1.4,-0.989,0.177,-0.659,3.703
2006-02-17,17,2,2006,0.142,1.722,-1.063,0.059,-0.567,3.706
2006-02-18,18,2,2006,-0.046,1.742,-1.068,-0.064,-0.473,3.71
2006-02-19,19,2,2006,0.169,1.596,-1.007,-0.192,-0.379,3.713
2006-02-20,20,2,2006,-0.454,1.435,-0.89,-0.323,-0.284,3.716
2006-02-21,21,2,2006,0.18,1.171,-0.727,-0.455,-0.188,3.72
2006-02-22,22,2,2006,0.735,0.747,-0.526,-0.588,-0.092,3.723
2006-02-23,23,2,2006,1.615,0.169,-0.297,-0.718,0.004,3.726
2006-02-24,24,2,2006,1.306,-0.542,-0.048,-0.845,0.1,3.73
2006-02-25,25,2,2006,0.618,-1.191,0.21,-0.966,0.196,3.733
2006-02-26,26,2,2006,0.019,-1.535,0.468,-1.081,0.291,3.737
2006-02-27,27,2,2006,-1.614,-1.343,0.718,-1.187,0.387,3.74
2006-02-28,28,2,2006,-1.374,-0.515,0.947,-1.283,0.481,3.744
2006-03-02,2,3,2006,0.83,0.572,1.144,-1.367,0.574,3.747
2006-03-03,3,3,2006,0.244,1.379,1.297,-1.438,0.667,3.751
2006-03-04,4,3,2006,0.539,1.547,1.395,-1.493,0.759,3.754
2006-03-05,5,3,2006,0.18,1.318,1.428,-1.532,0.849,3.758
2006-03-06,6,3,2006,0.368,0.99,1.397,-1.553,0.938,3.761
2006-03-07,7,3,2006,0.456,0.602,1.306,-1.556,1.026,3.765
2006-03-08,8,3,2006,0.467,0.13,1.162,-1.541,1.113,3.768
2006-03-09,9,3,2006,-0.47,-0.461,0.969,-1.508,1.198,3.772
2006-03-10,10,3,2006,-0.11,-1.022,0.734,-1.459,1.281,3.776
2006-03-11,11,3,2006,-0.549,-1.461,0.463,-1.395,1.363,3.779
2006-03-12,12,3,2006,-0.317,-1.851,0.161,-1.317,1.442,3.783
2006-03-13,13,3,2006,-0.614,-2.1,-0.166,-1.226,1.52,3.786
2006-03-14,14,3,2006,-0.787,-2.065,-0.511,-1.122,1.595,3.79
2006-03-15,15,3,2006,-1.073,-1.619,-0.863,-1.007,1.668,3.794
2006-03-16,16,3,2006,-1.056,-0.693,-1.206,-0.881,1.739,3.797
2006-03-17,17,3,2006,0.297,0.565,-1.524,-0.746,1.807,3.801
