Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5
2005-01-01,1,1,2005,-0.031,0.029,-0.391,-4.724,5.317
2005-01-02,2,1,2005,0.091,0.033,-0.42,-4.754,5.35
2005-01-03,3,1,2005,-0.103,-0.008,-0.397,-4.775,5.383
2005-01-04,4,1,2005,0.145,-0.046,-0.327,-4.788,5.416
2005-01-05,5,1,2005,-0.214,-0.018,-0.225,-4.792,5.448
2005-01-06,6,1,2005,0.287,0.027,-0.105,-4.789,5.481
2005-01-07,7,1,2005,0.378,0.07,0.018,-4.779,5.513
2005-01-08,8,1,2005,0.422,0.065,0.13,-4.762,5.545
2005-01-09,9,1,2005,-0.255,-0.008,0.224,-4.738,5.577
2005-01-10,10,1,2005,-0.42,-0.081,0.3,-4.709,5.609
2005-01-11,11,1,2005,-0.018,-0.108,0.358,-4.673,5.641
2005-01-12,12,1,2005,0.232,-0.072,0.4,-4.633,5.673
2005-01-13,13,1,2005,0.201,-0.043,0.425,-4.588,5.705
2005-01-14,14,1,2005,0.28,-0.012,0.434,-4.538,5.736
2005-01-15,15,1,2005,0.281,0.008,0.428,-4.484,5.767
2005-01-16,16,1,2005,-0.322,0.046,0.405,-4.427,5.798
2005-01-17,17,1,2005,-0.316,0.087,0.365,-4.366,5.829
2005-01-18,18,1,2005,-0.086,0.12,0.309,-4.303,5.86
2005-01-19,19,1,2005,0.051,0.16,0.236,-4.236,5.89
2005-01-20,20,1,2005,0.42,0.183,0.146,-4.168,5.92
2005-01-21,21,1,2005,-0.102,0.212,0.039,-4.099,5.95
2005-01-22,22,1,2005,-0.363,0.295,-0.085,-4.028,5.98
2005-01-23,23,1,2005,0.352,0.416,-0.221,-3.957,6.01
2005-01-24,24,1,2005,-0.405,0.41,-0.359,-3.886,6.039
2005-01-25,25,1,2005,-0.001,0.134,-0.486,-3.815,6.068
2005-01-26,26,1,2005,0.51,-0.268,-0.592,-3.746,6.096
2005-01-27,27,1,2005,0.925,-0.602,-0.669,-3.679,6.125
2005-01-28,28,1,2005,0.677,-0.709,-0.708,-3.614,6.153
2005-01-29,29,1,2005,0.15,-0.579,-0.701,-3.551,6.181
2005-01-30,30,1,2005,-0.523,-0.245,-0.65,-3.49,6.208
2005-01-31,31,1,2005,-1.301,0.252,-0.555,-3.431,6.235
2005-02-02,2,2,2005,0.892,0.839,-0.42,-3.373,6.262
2005-02-03,3,2,2005,0.93,1.144,-0.246,-3.318,6.289
2005-02-04,4,2,2005,0.537,0.848,-0.036,-3.264,6.315
2005-02-05,5,2,2005,0.062,0.11,0.199,-3.212,6.341
