Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5
2009-01-01,1,1,2009,0.126,-0.064,-1.308,0.214,2.433
2009-01-02,2,1,2009,-0.119,-0.125,-1.154,0.104,2.395
2009-01-03,3,1,2009,-0.025,-0.116,-1.0,-0.02,2.361
2009-01-04,4,1,2009,0.097,-0.027,-0.846,-0.155,2.331
2009-01-05,5,1,2009,-0.09,0.078,-0.693,-0.301,2.307
2009-01-06,6,1,2009,0.086,0.123,-0.541,-0.455,2.286
2009-01-07,7,1,2009,0.074,0.06,-0.39,-0.615,2.271
2009-01-08,8,1,2009,-0.077,-0.064,-0.239,-0.78,2.26
2009-01-09,9,1,2009,-0.093,-0.124,-0.088,-0.949,2.253
2009-01-10,10,1,2009,0.102,-0.099,0.063,-1.118,2.252
2009-01-11,11,1,2009,-0.11,0.029,0.214,-1.288,2.255
2009-01-12,12,1,2009,0.116,0.112,0.364,-1.455,2.262
2009-01-13,13,1,2009,0.021,0.109,0.513,-1.618,2.275
2009-01-14,14,1,2009,-0.017,0.043,0.657,-1.775,2.291
2009-01-15,15,1,2009,-0.035,-0.049,0.796,-1.925,2.313
2009-01-16,16,1,2009,-0.116,-0.087,0.928,-2.065,2.34
2009-01-17,17,1,2009,0.035,-0.066,1.052,-2.192,2.371
2009-01-18,18,1,2009,0.038,-0.002,1.162,-2.305,2.406
2009-01-19,19,1,2009,0.074,0.024,1.256,-2.401,2.447
2009-01-20,20,1,2009,-0.059,0.017,1.329,-2.479,2.492
2009-01-21,21,1,2009,0.05,-0.039,1.381,-2.535,2.542
2009-01-22,22,1,2009,-0.057,-0.095,1.423,-2.569,2.597
2009-01-23,23,1,2009,0.08,-0.117,1.456,-2.577,2.657
2009-01-24,24,1,2009,-0.099,-0.125,1.46,-2.557,2.721
2009-01-25,25,1,2009,0.099,-0.17,1.388,-2.507,2.79
2009-01-26,26,1,2009,-0.115,-0.209,1.189,-2.429,2.863
2009-01-27,27,1,2009,0.224,0.019,0.84,-2.323,2.94
2009-01-28,28,1,2009,-0.495,0.477,0.39,-2.193,3.021
2009-01-29,29,1,2009,-0.463,0.796,-0.098,-2.04,3.105
2009-01-30,30,1,2009,-0.12,0.861,-0.566,-1.868,3.193
2009-01-31,31,1,2009,0.662,0.72,-0.988,-1.678,3.284
2009-02-02,2,2,2009,1.258,0.387,-1.348,-1.474,3.378
2009-02-03,3,2,2009,1.912,-0.096,-1.633,-1.257,3.474
2009-02-04,4,2,2009,2.709,-0.723,-1.827,-1.032,3.573
2009-02-05,5,2,2009,3.788,-1.446,-1.916,-0.8,3.674
2009-02-06,6,2,2009,3.88,-2.208,-1.885,-0.565,3.777
2009-02-07,7,2,2009,3.545,-2.877,-1.72,-0.329,3.882
2009-02-08,8,2,2009,3.057,-3.241,-1.41,-0.094,3.989
2009-02-09,9,2,2009,1.816,-3.089,-0.961,0.137,4.097
2009-02-10,10,2,2009,-0.409,-2.148,-0.411,0.363,4.206
2009-02-11,11,2,2009,-2.845,-0.247,0.196,0.58,4.316
2009-02-12,12,2,2009,2.128,2.244,0.813,0.788,4.427
2009-02-13,13,2,2009,-0.852,3.934,1.397,0.982,4.539
2009-02-14,14,2,2009,-0.847,3.731,1.904,1.163,4.65
2009-02-15,15,2,2009,0.357,2.147,2.308,1.326,4.762
2009-02-16,16,2,2009,-0.248,0.397,2.608,1.47,4.873
2009-02-17,17,2,2009,-0.023,-0.76,2.805,1.592,4.985
2009-02-18,18,2,2009,0.477,-1.368,2.905,1.691,5.095
2009-02-19,19,2,2009,-0.645,-1.833,2.909,1.764,5.205
2009-02-20,20,2,2009,0.499,-2.343,2.821,1.81,5.314
2009-02-21,21,2,2009,0.926,-2.817,2.64,1.83,5.421
2009-02-22,22,2,2009,0.979,-3.098,2.366,1.826,5.527
2009-02-23,23,2,2009,0.047,-3.175,1.998,1.799,5.631
2009-02-24,24,2,2009,-0.814,-3.008,1.537,1.751,5.734
2009-02-25,25,2,2009,-1.412,-2.599,0.991,1.686,5.834
2009-02-26,26,2,2009,-0.786,-1.929,0.378,1.604,5.932
2009-02-27,27,2,2009,-0.305,-1.061,-0.269,1.508,6.028
2009-02-28,28,2,2009,-0.408,-0.093,-0.918,1.399,6.121
