Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5
2008-01-01,1,1,2008,0.121,-0.067,0.039,-1.773,3.18
2008-01-02,2,1,2008,-0.114,-0.133,0.041,-1.789,3.194
2008-01-03,3,1,2008,-0.025,-0.111,0.036,-1.808,3.208
2008-01-04,4,1,2008,0.095,-0.013,0.025,-1.829,3.222
2008-01-05,5,1,2008,-0.096,0.1,0.01,-1.852,3.237
2008-01-06,6,1,2008,0.1,0.129,-0.004,-1.876,3.252
2008-01-07,7,1,2008,0.098,0.052,-0.017,-1.9,3.267
2008-01-08,8,1,2008,-0.068,-0.066,-0.024,-1.925,3.282
2008-01-09,9,1,2008,-0.119,-0.106,-0.024,-1.949,3.298
2008-01-10,10,1,2008,0.105,-0.031,-0.016,-1.972,3.314
2008-01-11,11,1,2008,-0.09,0.057,-0.003,-1.993,3.33
2008-01-12,12,1,2008,0.091,0.067,0.009,-2.014,3.346
2008-01-13,13,1,2008,0.022,0.032,0.014,-2.032,3.363
2008-01-14,14,1,2008,-0.058,0.014,0.012,-2.047,3.379
2008-01-15,15,1,2008,-0.13,-0.009,0.003,-2.06,3.396
2008-01-16,16,1,2008,-0.218,-0.013,-0.012,-2.071,3.413
2008-01-17,17,1,2008,0.059,0.018,-0.028,-2.079,3.43
2008-01-18,18,1,2008,0.251,0.024,-0.037,-2.085,3.448
2008-01-19,19,1,2008,-0.239,-0.007,-0.03,-2.089,3.465
2008-01-20,20,1,2008,0.156,-0.043,-0.006,-2.09,3.483
2008-01-21,21,1,2008,0.181,-0.025,0.03,-2.087,3.501
2008-01-22,22,1,2008,-0.156,0.046,0.07,-2.078,3.519
2008-01-23,23,1,2008,0.147,0.086,0.093,-2.063,3.536
2008-01-24,24,1,2008,-0.161,0.062,0.083,-2.039,3.555
2008-01-25,25,1,2008,0.192,0.007,0.034,-2.005,3.573
2008-01-26,26,1,2008,-0.212,0.018,-0.036,-1.961,3.591
2008-01-27,27,1,2008,0.195,-0.012,-0.089,-1.904,3.609
2008-01-28,28,1,2008,-0.145,-0.237,-0.112,-1.834,3.628
2008-01-29,29,1,2008,0.101,-0.392,-0.104,-1.751,3.646
2008-01-30,30,1,2008,-0.109,-0.232,-0.065,-1.658,3.664
2008-01-31,31,1,2008,-0.031,0.115,-0.01,-1.557,3.683
2008-02-02,2,2,2008,,,,,
2008-02-03,3,2,2008,,,,,
2008-02-04,4,2,2008,,,,,
2008-02-05,5,2,2008,,,,,
2008-02-06,6,2,2008,,,,,
2008-02-07,7,2,2008,0.346,0.459,0.043,-1.449,3.701
2008-02-08,8,2,2008,-0.58,0.622,0.076,-1.338,3.72
2008-02-09,9,2,2008,0.886,0.526,0.074,-1.224,3.738
2008-02-10,10,2,2008,,,,,
2008-02-11,11,2,2008,,,,,
2008-02-12,12,2,2008,,,,,
2008-02-13,13,2,2008,,,,,
2008-02-14,14,2,2008,0.071,0.24,0.043,-1.111,3.757
2008-02-15,15,2,2008,-0.031,-0.14,-0.004,-1.001,3.775
2008-02-16,16,2,2008,-0.499,-0.447,-0.053,-0.895,3.794
2008-02-17,17,2,2008,,,,,
2008-02-18,18,2,2008,,,,,
2008-02-19,19,2,2008,,,,,
2008-02-20,20,2,2008,,,,,
2008-02-21,21,2,2008,-2.361,-0.565,-0.089,-0.796,3.812
2008-02-22,22,2,2008,-2.206,-0.418,-0.101,-0.706,3.83
2008-02-23,23,2,2008,-1.52,-0.118,-0.087,-0.624,3.849
2008-02-24,24,2,2008,,,,,
2008-02-25,25,2,2008,,,,,
2008-02-26,26,2,2008,,,,,
2008-02-27,27,2,2008,,,,,
2008-02-28,28,2,2008,,,,,
2008-03-02,2,3,2008,3.026,0.205,-0.048,-0.55,3.867
2008-03-03,3,3,2008,3.011,0.373,0.013,-0.482,3.885
2008-03-04,4,3,2008,0.975,0.349,0.095,-0.421,3.903
2008-03-05,5,3,2008,-0.331,0.187,0.188,-0.365,3.921
2008-03-06,6,3,2008,-0.959,-0.046,0.278,-0.313,3.939
2008-03-07,7,3,2008,-1.891,-0.25,0.348,-0.264,3.957
2008-03-08,8,3,2008,-1.913,-0.328,0.383,-0.217,3.975
2008-03-09,9,3,2008,-1.62,-0.276,0.376,-0.171,3.992
2008-03-10,10,3,2008,-1.206,-0.105,0.329,-0.127,4.01
2008-03-11,11,3,2008,-0.027,0.134,0.248,-0.082,4.027
2008-03-12,12,3,2008,-0.03,0.385,0.138,-0.038,4.044
2008-03-13,13,3,2008,0.038,0.588,0.005,0.008,4.061
2008-03-14,14,3,2008,0.102,0.711,-0.146,0.055,4.078
2008-03-15,15,3,2008,-0.017,0.728,-0.309,0.104,4.094
2008-03-16,16,3,2008,0.064,0.647,-0.477,0.155,4.111
2008-03-17,17,3,2008,-0.162,0.568,-0.642,0.209,4.127
2008-03-18,18,3,2008,0.281,0.407,-0.797,0.267,4.143
2008-03-19,19,3,2008,-0.118,0.065,-0.934,0.328,4.158
2008-03-20,20,3,2008,-0.393,-0.429,-1.046,0.394,4.174
2008-03-21,21,3,2008,-0.261,-0.968,-1.126,0.465,4.189
2008-03-22,22,3,2008,-0.801,-1.379,-1.166,0.541,4.204
2008-03-23,23,3,2008,-0.594,-1.49,-1.158,0.624,4.219
2008-03-24,24,3,2008,-0.459,-1.288,-1.099,0.712,4.233
2008-03-25,25,3,2008,-0.346,-0.815,-0.991,0.805,4.248
2008-03-26,26,3,2008,-0.068,-0.152,-0.844,0.903,4.262
2008-03-27,27,3,2008,0.723,0.56,-0.664,1.005,4.275
2008-03-28,28,3,2008,1.143,1.217,-0.459,1.111,4.288
2008-03-29,29,3,2008,0.954,1.661,-0.236,1.219,4.301
2008-03-30,30,3,2008,1.266,1.793,-0.003,1.33,4.314
2008-03-31,31,3,2008,1.574,1.523,0.234,1.442,4.326
2008-04-02,2,4,2008,0.978,0.858,0.469,1.556,4.338
2008-04-03,3,4,2008,-0.096,-0.021,0.697,1.67,4.35
2008-04-04,4,4,2008,-0.457,-0.9,0.912,1.784,4.361
2008-04-05,5,4,2008,-0.114,-1.562,1.106,1.898,4.372
2008-04-06,6,4,2008,-0.902,-1.765,1.274,2.01,4.383
2008-04-07,7,4,2008,-0.946,-1.482,1.414,2.121,4.393
2008-04-08,8,4,2008,-0.519,-0.838,1.526,2.229,4.403
2008-04-09,9,4,2008,-0.233,-0.023,1.61,2.335,4.412
2008-04-10,10,4,2008,0.411,0.765,1.666,2.437,4.421
2008-04-11,11,4,2008,0.126,1.315,1.696,2.535,4.429
2008-04-12,12,4,2008,0.127,1.609,1.699,2.628,4.437
2008-04-13,13,4,2008,0.024,1.637,1.677,2.716,4.445
2008-04-14,14,4,2008,-0.146,1.465,1.63,2.799,4.452
2008-04-15,15,4,2008,-0.046,1.153,1.559,2.875,4.459
2008-04-16,16,4,2008,0.021,0.704,1.466,2.944,4.465
2008-04-17,17,4,2008,-0.037,0.206,1.353,3.007,4.47
2008-04-18,18,4,2008,0.06,-0.319,1.221,3.062,4.476
2008-04-19,19,4,2008,0.07,-0.832,1.072,3.11,4.48
2008-04-20,20,4,2008,0.168,-1.309,0.906,3.151,4.485
2008-04-21,21,4,2008,-0.184,-1.613,0.725,3.185,4.488
2008-04-22,22,4,2008,0.177,-1.61,0.531,3.21,4.491
2008-04-23,23,4,2008,-0.154,-1.394,0.326,3.228,4.494
2008-04-24,24,4,2008,-0.156,-0.992,0.114,3.238,4.496
2008-04-25,25,4,2008,0.262,-0.401,-0.1,3.241,4.497
2008-04-26,26,4,2008,-0.142,0.42,-0.311,3.235,4.498
2008-04-27,27,4,2008,-0.521,1.216,-0.515,3.221,4.499
2008-04-28,28,4,2008,0.606,1.705,-0.707,3.198,4.498
2008-04-29,29,4,2008,0.226,1.593,-0.884,3.167,4.498
2008-04-30,30,4,2008,0.147,0.971,-1.041,3.127,4.496
2008-05-02,2,5,2008,-0.519,0.124,-1.178,3.078,4.494
2008-05-03,3,5,2008,-0.183,-0.738,-1.291,3.021,4.492
2008-05-04,4,5,2008,0.14,-1.404,-1.379,2.954,4.489
2008-05-05,5,5,2008,0.286,-1.711,-1.439,2.878,4.486
2008-05-06,6,5,2008,-0.28,-1.524,-1.47,2.792,4.482
2008-05-07,7,5,2008,-0.022,-0.978,-1.474,2.698,4.477
2008-05-08,8,5,2008,0.09,-0.302,-1.454,2.593,4.472
2008-05-09,9,5,2008,0.367,0.299,-1.413,2.48,4.467
2008-05-10,10,5,2008,-0.059,0.694,-1.355,2.359,4.461
2008-05-11,11,5,2008,-0.318,0.918,-1.283,2.229,4.454
2008-05-12,12,5,2008,0.253,1.108,-1.201,2.092,4.447
2008-05-13,13,5,2008,-0.063,1.287,-1.112,1.948,4.44
2008-05-14,14,5,2008,-0.144,1.335,-1.019,1.796,4.432
2008-05-15,15,5,2008,0.13,1.133,-0.926,1.638,4.424
