Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5
2003-01-01,1,1,2003,0.0,-0.321,1.624,-2.391,1.088
2003-01-02,2,1,2003,0.008,-0.374,1.902,-2.61,1.073
2003-01-03,3,1,2003,-0.004,-0.417,2.165,-2.806,1.062
2003-01-04,4,1,2003,0.001,-0.49,2.412,-2.977,1.055
2003-01-05,5,1,2003,0.003,-0.569,2.638,-3.123,1.052
2003-01-06,6,1,2003,-0.006,-0.64,2.836,-3.242,1.052
2003-01-07,7,1,2003,0.001,-0.725,2.999,-3.331,1.056
2003-01-08,8,1,2003,0.0,-0.793,3.118,-3.389,1.064
2003-01-09,9,1,2003,0.003,-0.847,3.183,-3.415,1.076
2003-01-10,10,1,2003,-0.007,-0.859,3.181,-3.407,1.092
2003-01-11,11,1,2003,0.003,-0.849,3.098,-3.363,1.112
2003-01-12,12,1,2003,-0.005,-0.764,2.918,-3.286,1.136
2003-01-13,13,1,2003,0.01,-0.627,2.63,-3.177,1.164
2003-01-14,14,1,2003,0.025,-0.407,2.226,-3.039,1.195
2003-01-15,15,1,2003,0.005,-0.065,1.704,-2.873,1.23
2003-01-16,16,1,2003,0.001,0.336,1.078,-2.683,1.268
2003-01-17,17,1,2003,-0.014,0.799,0.376,-2.471,1.31
2003-01-18,18,1,2003,-0.039,1.286,-0.364,-2.238,1.355
2003-01-19,19,1,2003,-0.091,1.776,-1.102,-1.986,1.403
2003-01-20,20,1,2003,-0.17,2.231,-1.796,-1.719,1.454
2003-01-21,21,1,2003,-0.257,2.592,-2.405,-1.438,1.508
2003-01-22,22,1,2003,-0.317,2.786,-2.889,-1.146,1.565
2003-01-23,23,1,2003,-0.338,2.767,-3.21,-0.845,1.625
2003-01-24,24,1,2003,-0.266,2.46,-3.344,-0.537,1.688
2003-01-25,25,1,2003,-0.059,1.826,-3.294,-0.225,1.753
2003-01-26,26,1,2003,0.274,0.885,-3.066,0.087,1.821
2003-01-27,27,1,2003,0.703,-0.322,-2.67,0.398,1.891
2003-01-28,28,1,2003,1.068,-1.621,-2.113,0.703,1.963
2003-01-29,29,1,2003,1.132,-2.766,-1.404,1.002,2.038
2003-01-30,30,1,2003,0.498,-3.345,-0.557,1.29,2.114
2003-01-31,31,1,2003,-1.189,-2.956,0.387,1.564,2.193
2003-02-02,2,2,2003,0.389,-1.633,1.346,1.824,2.274
2003-02-03,3,2,2003,0.114,0.234,2.232,2.064,2.357
2003-02-04,4,2,2003,-0.396,1.919,2.954,2.283,2.441
2003-02-05,5,2,2003,0.92,2.651,3.424,2.478,2.527
2003-02-06,6,2,2003,-0.521,2.188,3.573,2.646,2.614
2003-02-07,7,2,2003,-1.048,1.042,3.418,2.784,2.703
2003-02-08,8,2,2003,-0.385,-0.195,2.995,2.892,2.794
2003-02-09,9,2,2003,0.481,-1.172,2.337,2.969,2.885
2003-02-10,10,2,2003,0.928,-1.503,1.478,3.018,2.978
2003-02-11,11,2,2003,-0.833,-0.738,0.461,3.038,3.072
2003-02-12,12,2,2003,0.735,0.595,-0.629,3.032,3.167
2003-02-13,13,2,2003,-0.649,1.039,-1.651,2.999,3.263
2003-02-14,14,2,2003,0.596,0.3,-2.496,2.941,3.359
2003-02-15,15,2,2003,-0.053,-0.638,-3.125,2.86,3.456
2003-02-16,16,2,2003,-0.542,-0.953,-3.514,2.755,3.554
2003-02-17,17,2,2003,0.46,-0.285,-3.655,2.628,3.652
2003-02-18,18,2,2003,-0.332,0.588,-3.587,2.48,3.751
2003-02-19,19,2,2003,0.223,1.078,-3.363,2.313,3.85
2003-02-20,20,2,2003,-0.185,1.244,-3.037,2.129,3.949
2003-02-21,21,2,2003,0.206,1.174,-2.656,1.929,4.048
2003-02-22,22,2,2003,-0.239,0.926,-2.249,1.715,4.146
2003-02-23,23,2,2003,0.214,0.678,-1.826,1.49,4.245
2003-02-24,24,2,2003,0.291,0.404,-1.392,1.254,4.343
2003-02-25,25,2,2003,0.246,0.058,-0.956,1.01,4.441
2003-02-26,26,2,2003,-0.369,-0.408,-0.522,0.76,4.538
2003-02-27,27,2,2003,0.413,-1.057,-0.097,0.506,4.635
2003-02-28,28,2,2003,-0.297,-1.695,0.314,0.249,4.73
2003-03-01,1,3,2003,-0.436,-2.084,0.705,-0.009,4.825
2003-03-02,2,3,2003,-0.393,-2.03,1.07,-0.266,4.918
2003-03-03,3,3,2003,0.353,-1.753,1.41,-0.52,5.011
2003-03-04,4,3,2003,0.02,-1.475,1.723,-0.769,5.102
2003-03-05,5,3,2003,-0.366,-1.32,2.006,-1.012,5.192
2003-03-06,6,3,2003,0.5,-1.191,2.258,-1.246,5.28
2003-03-07,7,3,2003,-0.701,-0.571,2.476,-1.47,5.366
2003-03-08,8,3,2003,0.877,0.494,2.659,-1.682,5.451
2003-03-09,9,3,2003,0.562,1.479,2.804,-1.879,5.534
2003-03-10,10,3,2003,0.206,2.132,2.909,-2.061,5.614
2003-03-11,11,3,2003,-0.824,2.383,2.973,-2.225,5.693
2003-03-12,12,3,2003,-0.551,2.159,2.995,-2.371,5.769
