Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5
2007-01-01,1,1,2007,0.045,0.136,-1.344,1.81,0.753
2007-01-02,2,1,2007,-0.063,0.146,-1.358,1.827,0.749
2007-01-03,3,1,2007,-0.267,0.148,-1.366,1.839,0.746
2007-01-04,4,1,2007,0.032,0.144,-1.367,1.846,0.745
2007-01-05,5,1,2007,0.244,0.125,-1.362,1.848,0.745
2007-01-06,6,1,2007,0.2,0.06,-1.352,1.845,0.747
2007-01-07,7,1,2007,0.187,-0.037,-1.337,1.836,0.751
2007-01-08,8,1,2007,0.158,-0.118,-1.317,1.822,0.756
2007-01-09,9,1,2007,-0.13,-0.141,-1.293,1.801,0.763
2007-01-10,10,1,2007,0.111,-0.091,-1.266,1.775,0.772
2007-01-11,11,1,2007,-0.1,0.011,-1.235,1.742,0.782
2007-01-12,12,1,2007,0.028,0.075,-1.199,1.703,0.794
2007-01-13,13,1,2007,0.101,0.094,-1.158,1.657,0.807
2007-01-14,14,1,2007,0.024,0.062,-1.112,1.605,0.821
2007-01-15,15,1,2007,-0.041,0.016,-1.057,1.545,0.838
2007-01-16,16,1,2007,-0.123,-0.02,-0.991,1.479,0.855
2007-01-17,17,1,2007,-0.051,-0.018,-0.91,1.405,0.874
2007-01-18,18,1,2007,0.095,0.003,-0.816,1.323,0.895
2007-01-19,19,1,2007,0.131,0.03,-0.711,1.234,0.917
2007-01-20,20,1,2007,-0.126,0.049,-0.6,1.137,0.94
2007-01-21,21,1,2007,-0.059,0.044,-0.482,1.032,0.964
2007-01-22,22,1,2007,0.012,0.032,-0.353,0.919,0.99
2007-01-23,23,1,2007,0.079,0.016,-0.21,0.798,1.017
2007-01-24,24,1,2007,-0.055,-0.009,-0.049,0.668,1.046
2007-01-25,25,1,2007,0.04,-0.069,0.124,0.529,1.076
2007-01-26,26,1,2007,-0.058,-0.22,0.29,0.381,1.106
2007-01-27,27,1,2007,0.123,-0.302,0.416,0.224,1.139
2007-01-28,28,1,2007,-0.225,-0.078,0.473,0.059,1.172
2007-01-29,29,1,2007,-0.113,0.267,0.455,-0.115,1.206
