value,timestamp
550,2024-11-07 00:03:13
550,2024-11-07 00:03:24
550,2024-11-07 00:03:36
550,2024-11-07 00:07:58
550,2024-11-07 00:08:09
550,2024-11-07 00:08:21
550,2024-11-07 00:12:46
550,2024-11-07 00:12:57
550,2024-11-07 00:13:09
560,2024-11-07 00:17:33
560,2024-11-07 00:17:44
560,2024-11-07 00:17:56
550,2024-11-07 00:22:21
550,2024-11-07 00:22:32
550,2024-11-07 00:22:44
560,2024-11-07 00:27:12
560,2024-11-07 00:27:24
560,2024-11-07 00:27:35
560,2024-11-07 00:31:57
560,2024-11-07 00:32:09
560,2024-11-07 00:32:20
560,2024-11-07 00:36:42
560,2024-11-07 00:36:54
560,2024-11-07 00:37:09
560,2024-11-07 00:41:29
560,2024-11-07 00:41:40
560,2024-11-07 00:41:52
560,2024-11-07 00:46:14
560,2024-11-07 00:46:25
560,2024-11-07 00:46:37
560,2024-11-07 00:51:05
560,2024-11-07 00:51:17
560,2024-11-07 00:51:28
560,2024-11-07 00:55:50
560,2024-11-07 00:56:01
560,2024-11-07 00:56:13
560,2024-11-07 01:00:35
560,2024-11-07 01:00:47
560,2024-11-07 01:00:58
560,2024-11-07 01:05:20
560,2024-11-07 01:05:31
560,2024-11-07 01:05:43
560,2024-11-07 01:10:04
560,2024-11-07 01:10:16
560,2024-11-07 01:10:27
560,2024-11-07 01:14:49
560,2024-11-07 01:15:01
560,2024-11-07 01:15:12
560,2024-11-07 01:19:34
560,2024-11-07 01:19:46
560,2024-11-07 01:19:57
560,2024-11-07 01:24:26
560,2024-11-07 01:24:37
560,2024-11-07 01:24:49
560,2024-11-07 01:29:11
560,2024-11-07 01:29:22
560,2024-11-07 01:29:34
560,2024-11-07 01:33:58
560,2024-11-07 01:34:10
560,2024-11-07 01:34:21
560,2024-11-07 01:38:43
560,2024-11-07 01:38:55
560,2024-11-07 01:39:06
570,2024-11-07 01:43:28
570,2024-11-07 01:43:40
570,2024-11-07 01:43:51
570,2024-11-07 01:48:13
570,2024-11-07 01:48:25
570,2024-11-07 01:48:36
580,2024-11-07 01:52:58
580,2024-11-07 01:53:10
580,2024-11-07 01:53:21
580,2024-11-07 01:57:43
580,2024-11-07 01:57:55
580,2024-11-07 01:58:06
580,2024-11-07 02:02:28
580,2024-11-07 02:02:40
580,2024-11-07 02:02:51
590,2024-11-07 02:07:13
590,2024-11-07 02:07:25
590,2024-11-07 02:07:36
590,2024-11-07 02:16:40
590,2024-11-07 02:16:51
590,2024-11-07 02:17:03
590,2024-11-07 02:21:25
590,2024-11-07 02:21:36
590,2024-11-07 02:21:48
580,2024-11-07 02:26:10
580,2024-11-07 02:26:21
580,2024-11-07 02:26:33
580,2024-11-07 02:30:54
580,2024-11-07 02:31:06
580,2024-11-07 02:31:17
580,2024-11-07 02:35:39
580,2024-11-07 02:35:51
580,2024-11-07 02:36:02
580,2024-11-07 02:40:24
580,2024-11-07 02:40:36
580,2024-11-07 02:40:47
580,2024-11-07 02:45:09
580,2024-11-07 02:45:20
580,2024-11-07 02:45:32
580,2024-11-07 02:49:54
580,2024-11-07 02:50:05
580,2024-11-07 02:50:17
580,2024-11-07 02:54:38
580,2024-11-07 02:54:50
580,2024-11-07 02:55:01
580,2024-11-07 02:59:22
580,2024-11-07 02:59:33
580,2024-11-07 02:59:45
580,2024-11-07 03:04:07
580,2024-11-07 03:04:18
580,2024-11-07 03:04:30
580,2024-11-07 03:08:51
580,2024-11-07 03:09:03
580,2024-11-07 03:09:14
580,2024-11-07 03:13:36
580,2024-11-07 03:13:48
580,2024-11-07 03:13:59
590,2024-11-07 03:18:21
590,2024-11-07 03:18:33
590,2024-11-07 03:18:44
580,2024-11-07 03:23:06
580,2024-11-07 03:23:17
580,2024-11-07 03:23:29
580,2024-11-07 03:27:51
580,2024-11-07 03:28:02
580,2024-11-07 03:28:14
580,2024-11-07 03:32:46
580,2024-11-07 03:32:58
580,2024-11-07 03:37:19
580,2024-11-07 03:37:30
580,2024-11-07 03:37:42
580,2024-11-07 03:42:03
580,2024-11-07 03:42:15
580,2024-11-07 03:42:26
580,2024-11-07 03:46:47
