value,timestamp
540,2024-11-08 00:00:00
540,2024-11-08 00:00:11
540,2024-11-08 00:04:33
540,2024-11-08 00:04:45
540,2024-11-08 00:04:56
540,2024-11-08 00:09:18
540,2024-11-08 00:09:29
540,2024-11-08 00:09:41
540,2024-11-08 00:14:03
540,2024-11-08 00:14:14
540,2024-11-08 00:14:26
540,2024-11-08 00:18:47
540,2024-11-08 00:18:59
540,2024-11-08 00:19:10
540,2024-11-08 00:23:32
540,2024-11-08 00:23:44
540,2024-11-08 00:23:55
530,2024-11-08 00:28:17
530,2024-11-08 00:28:28
530,2024-11-08 00:28:40
530,2024-11-08 00:33:01
530,2024-11-08 00:33:13
530,2024-11-08 00:33:24
530,2024-11-08 00:37:46
530,2024-11-08 00:37:58
530,2024-11-08 00:38:09
530,2024-11-08 00:42:31
530,2024-11-08 00:42:43
530,2024-11-08 00:42:54
520,2024-11-08 00:47:16
520,2024-11-08 00:47:28
520,2024-11-08 00:47:39
520,2024-11-08 00:52:01
520,2024-11-08 00:52:12
520,2024-11-08 00:52:24
520,2024-11-08 00:56:46
520,2024-11-08 00:56:57
520,2024-11-08 00:57:09
520,2024-11-08 01:01:30
520,2024-11-08 01:01:42
520,2024-11-08 01:01:53
520,2024-11-08 01:06:16
520,2024-11-08 01:06:27
520,2024-11-08 01:06:39
520,2024-11-08 01:11:00
520,2024-11-08 01:11:12
520,2024-11-08 01:11:23
520,2024-11-08 01:15:45
520,2024-11-08 01:15:57
520,2024-11-08 01:16:08
520,2024-11-08 01:20:30
520,2024-11-08 01:20:42
520,2024-11-08 01:20:53
520,2024-11-08 01:25:26
520,2024-11-08 01:25:38
520,2024-11-08 01:30:11
520,2024-11-08 01:30:23
520,2024-11-08 01:34:44
520,2024-11-08 01:34:56
520,2024-11-08 01:35:07
520,2024-11-08 01:39:29
520,2024-11-08 01:39:41
520,2024-11-08 01:39:52
530,2024-11-08 01:44:14
530,2024-11-08 01:44:26
530,2024-11-08 01:44:37
530,2024-11-08 01:48:59
530,2024-11-08 01:49:10
530,2024-11-08 01:49:22
530,2024-11-08 01:53:43
530,2024-11-08 01:53:55
530,2024-11-08 01:54:06
530,2024-11-08 01:58:28
530,2024-11-08 01:58:40
530,2024-11-08 01:58:51
540,2024-11-08 02:03:13
540,2024-11-08 02:03:25
540,2024-11-08 02:03:36
550,2024-11-08 02:07:58
550,2024-11-08 02:08:10
550,2024-11-08 02:08:21
550,2024-11-08 02:12:43
550,2024-11-08 02:12:55
550,2024-11-08 02:13:06
560,2024-11-08 02:17:28
560,2024-11-08 02:17:39
560,2024-11-08 02:17:51
560,2024-11-08 02:22:13
560,2024-11-08 02:22:24
560,2024-11-08 02:22:36
560,2024-11-08 02:26:57
560,2024-11-08 02:27:09
560,2024-11-08 02:27:20
560,2024-11-08 02:31:42
560,2024-11-08 02:31:54
560,2024-11-08 02:32:05
560,2024-11-08 02:36:27
560,2024-11-08 02:36:38
560,2024-11-08 02:36:50
570,2024-11-08 02:41:12
570,2024-11-08 02:41:23
570,2024-11-08 02:41:35
570,2024-11-08 02:45:57
570,2024-11-08 02:46:08
570,2024-11-08 02:46:20
560,2024-11-08 02:50:41
560,2024-11-08 02:50:52
560,2024-11-08 02:51:04
560,2024-11-08 02:55:24
560,2024-11-08 02:55:36
560,2024-11-08 02:55:47
560,2024-11-08 03:00:08
560,2024-11-08 03:00:20
560,2024-11-08 03:00:31
560,2024-11-08 03:04:52
560,2024-11-08 03:05:04
560,2024-11-08 03:05:15
560,2024-11-08 03:09:36
560,2024-11-08 03:09:47
560,2024-11-08 03:09:59
560,2024-11-08 03:14:20
560,2024-11-08 03:14:31
560,2024-11-08 03:14:43
560,2024-11-08 03:19:03
560,2024-11-08 03:19:15
560,2024-11-08 03:19:26
560,2024-11-08 03:23:47
560,2024-11-08 03:23:58
560,2024-11-08 03:24:10
560,2024-11-08 03:28:31
560,2024-11-08 03:28:42
560,2024-11-08 03:28:54
560,2024-11-08 03:33:15
560,2024-11-08 03:33:26
560,2024-11-08 03:33:38
560,2024-11-08 03:37:59
560,2024-11-08 03:38:10
560,2024-11-08 03:38:22
560,2024-11-08 03:42:42
560,2024-11-08 03:42:54
560,2024-11-08 03:43:05
560,2024-11-08 03:47:26
560,2024-11-08 03:47:38
560,2024-11-08 03:47:49
560,2024-11-08 03:52:10
560,2024-11-08 03:52:21
560,2024-11-08 03:52:33
560,2024-11-08 03:56:54
560,2024-11-08 03:57:05
560,2024-11-08 03:57:17
560,2024-11-08 04:01:38
560,2024-11-08 04:01:49
560,2024-11-08 04:02:01
560,2024-11-08 04:06:33
560,2024-11-08 04:06:44
560,2024-11-08 04:11:05
560,2024-11-08 04:11:17
560,2024-11-08 04:11:28
560,2024-11-08 04:15:49
560,2024-11-08 04:16:01
560,2024-11-08 04:16:12
560,2024-11-08 04:20:33
560,2024-11-08 04:20:44
560,2024-11-08 04:20:56
560,2024-11-08 04:25:16
560,2024-11-08 04:25:28
560,2024-11-08 04:25:39
560,2024-11-08 04:30:00
560,2024-11-08 04:30:12
560,2024-11-08 04:30:23
560,2024-11-08 04:34:44
560,2024-11-08 04:34:56
560,2024-11-08 04:35:07
560,2024-11-08 04:39:28
560,2024-11-08 04:39:39
560,2024-11-08 04:39:51
570,2024-11-08 04:44:12
570,2024-11-08 04:44:23
570,2024-11-08 04:44:35
570,2024-11-08 04:48:56
570,2024-11-08 04:49:07
570,2024-11-08 04:49:19
560,2024-11-08 04:53:40
560,2024-11-08 04:53:51
560,2024-11-08 04:54:03
560,2024-11-08 04:58:35
560,2024-11-08 04:58:47
560,2024-11-08 05:03:07
560,2024-11-08 05:03:19
560,2024-11-08 05:03:30
570,2024-11-08 05:07:51
570,2024-11-08 05:08:03
570,2024-11-08 05:08:14
570,2024-11-08 05:12:35
570,2024-11-08 05:12:46
570,2024-11-08 05:12:58
570,2024-11-08 05:17:19
570,2024-11-08 05:17:30
570,2024-11-08 05:17:42
570,2024-11-08 05:22:02
570,2024-11-08 05:22:14
570,2024-11-08 05:22:25
570,2024-11-08 05:26:46
570,2024-11-08 05:26:58
570,2024-11-08 05:27:09
570,2024-11-08 05:31:30
570,2024-11-08 05:31:41
570,2024-11-08 05:31:53
570,2024-11-08 05:36:14
570,2024-11-08 05:36:26
570,2024-11-08 05:36:37
570,2024-11-08 05:40:58
570,2024-11-08 05:41:09
570,2024-11-08 05:41:21
560,2024-11-08 05:45:41
560,2024-11-08 05:45:53
560,2024-11-08 05:46:04
570,2024-11-08 05:50:25
570,2024-11-08 05:50:36
570,2024-11-08 05:50:48
560,2024-11-08 05:59:49
560,2024-11-08 06:00:01
560,2024-11-08 06:00:12
560,2024-11-08 06:04:33
560,2024-11-08 06:04:45
560,2024-11-08 06:04:56
560,2024-11-08 06:09:17
560,2024-11-08 06:09:29
560,2024-11-08 06:09:40
560,2024-11-08 06:14:01
560,2024-11-08 06:14:13
560,2024-11-08 06:14:24
560,2024-11-08 06:18:45
560,2024-11-08 06:18:57
560,2024-11-08 06:19:08
560,2024-11-08 06:23:29
560,2024-11-08 06:23:40
560,2024-11-08 06:23:52
560,2024-11-08 06:28:12
560,2024-11-08 06:28:24
560,2024-11-08 06:28:35
560,2024-11-08 06:32:56
560,2024-11-08 06:33:08
560,2024-11-08 06:33:19
560,2024-11-08 06:37:40
560,2024-11-08 06:37:51
560,2024-11-08 06:38:03
560,2024-11-08 06:42:24
560,2024-11-08 06:42:35
560,2024-11-08 06:42:47
560,2024-11-08 06:47:08
560,2024-11-08 06:47:19
560,2024-11-08 06:47:31
560,2024-11-08 06:51:52
560,2024-11-08 06:52:03
560,2024-11-08 06:52:15
560,2024-11-08 06:56:36
560,2024-11-08 06:56:47
560,2024-11-08 06:56:59
550,2024-11-08 07:01:20
550,2024-11-08 07:01:31
550,2024-11-08 07:01:43
550,2024-11-08 07:06:04
550,2024-11-08 07:06:15
550,2024-11-08 07:06:27
550,2024-11-08 07:10:48
550,2024-11-08 07:10:59
550,2024-11-08 07:11:11
550,2024-11-08 07:15:31
550,2024-11-08 07:15:43
550,2024-11-08 07:15:54
550,2024-11-08 07:20:15
550,2024-11-08 07:20:27
550,2024-11-08 07:20:38
550,2024-11-08 07:24:59
550,2024-11-08 07:25:11
550,2024-11-08 07:25:22
550,2024-11-08 07:29:43
550,2024-11-08 07:29:55
550,2024-11-08 07:30:06
550,2024-11-08 07:34:27
550,2024-11-08 07:34:38
550,2024-11-08 07:34:50
550,2024-11-08 07:39:11
550,2024-11-08 07:39:22
550,2024-11-08 07:39:34
550,2024-11-08 07:43:56
550,2024-11-08 07:44:07
550,2024-11-08 07:44:19
550,2024-11-08 07:48:40
550,2024-11-08 07:48:52
550,2024-11-08 07:49:03
550,2024-11-08 07:53:25
550,2024-11-08 07:53:37
550,2024-11-08 07:53:48
550,2024-11-08 07:58:10
550,2024-11-08 07:58:21
550,2024-11-08 07:58:33
550,2024-11-08 08:02:54
550,2024-11-08 08:03:06
550,2024-11-08 08:03:17
550,2024-11-08 08:07:39
550,2024-11-08 08:07:50
550,2024-11-08 08:08:02
550,2024-11-08 08:12:24
550,2024-11-08 08:12:36
550,2024-11-08 08:12:47
550,2024-11-08 08:17:08
550,2024-11-08 08:17:19
550,2024-11-08 08:17:31
560,2024-11-08 08:21:52
560,2024-11-08 08:22:03
560,2024-11-08 08:22:15
560,2024-11-08 08:26:36
560,2024-11-08 08:26:47
560,2024-11-08 08:26:59
550,2024-11-08 08:31:20
550,2024-11-08 08:31:31
550,2024-11-08 08:31:43
550,2024-11-08 08:36:04
550,2024-11-08 08:36:15
550,2024-11-08 08:36:27
550,2024-11-08 08:40:47
550,2024-11-08 08:40:59
550,2024-11-08 08:41:10
550,2024-11-08 08:45:31
550,2024-11-08 08:45:43
550,2024-11-08 08:45:54
550,2024-11-08 08:50:15
550,2024-11-08 08:50:27
550,2024-11-08 08:50:38
550,2024-11-08 08:54:59
550,2024-11-08 08:55:11
550,2024-11-08 08:55:22
550,2024-11-08 08:59:44
550,2024-11-08 08:59:55
550,2024-11-08 09:00:07
550,2024-11-08 09:04:27
550,2024-11-08 09:04:39
550,2024-11-08 09:04:50
550,2024-11-08 09:09:11
550,2024-11-08 09:09:23
550,2024-11-08 09:09:34
550,2024-11-08 09:13:55
550,2024-11-08 09:14:06
550,2024-11-08 09:14:18
550,2024-11-08 09:18:39
550,2024-11-08 09:18:50
550,2024-11-08 09:19:02
560,2024-11-08 09:23:23
560,2024-11-08 09:23:34
560,2024-11-08 09:23:46
550,2024-11-08 09:28:07
550,2024-11-08 09:28:18
550,2024-11-08 09:28:30
550,2024-11-08 09:32:50
550,2024-11-08 09:33:02
550,2024-11-08 09:33:14
560,2024-11-08 09:37:34
560,2024-11-08 09:37:46
560,2024-11-08 09:37:57
560,2024-11-08 09:42:18
560,2024-11-08 09:42:30
560,2024-11-08 09:42:41
570,2024-11-08 09:47:02
570,2024-11-08 09:47:14
570,2024-11-08 09:47:25
580,2024-11-08 09:56:38
580,2024-11-08 09:56:50
580,2024-11-08 10:01:11
580,2024-11-08 10:01:22
580,2024-11-08 10:01:34
570,2024-11-08 10:05:55
570,2024-11-08 10:06:06
570,2024-11-08 10:06:18
570,2024-11-08 10:10:48
570,2024-11-08 10:10:59
580,2024-11-08 10:15:21
580,2024-11-08 10:15:33
580,2024-11-08 10:15:44
580,2024-11-08 10:20:07
580,2024-11-08 10:20:18
580,2024-11-08 10:20:30
590,2024-11-08 10:29:33
590,2024-11-08 10:29:45
590,2024-11-08 10:29:56
580,2024-11-08 10:34:18
580,2024-11-08 10:34:30
580,2024-11-08 10:34:41
570,2024-11-08 10:39:03
570,2024-11-08 10:39:15
570,2024-11-08 10:39:26
570,2024-11-08 10:43:48
570,2024-11-08 10:44:00
570,2024-11-08 10:44:11
570,2024-11-08 10:48:32
570,2024-11-08 10:48:44
570,2024-11-08 10:48:55
570,2024-11-08 10:53:16
570,2024-11-08 10:53:27
570,2024-11-08 10:53:39
570,2024-11-08 10:58:00
570,2024-11-08 10:58:12
570,2024-11-08 10:58:23
570,2024-11-08 11:02:52
570,2024-11-08 11:03:03
570,2024-11-08 11:03:15
570,2024-11-08 11:07:36
570,2024-11-08 11:07:47
570,2024-11-08 11:07:59
560,2024-11-08 11:12:21
560,2024-11-08 11:12:32
560,2024-11-08 11:12:44
560,2024-11-08 11:17:06
560,2024-11-08 11:17:17
560,2024-11-08 11:17:29
560,2024-11-08 11:21:51
560,2024-11-08 11:22:02
560,2024-11-08 11:22:14
560,2024-11-08 11:26:36
560,2024-11-08 11:26:47
560,2024-11-08 11:26:59
560,2024-11-08 11:31:20
560,2024-11-08 11:31:31
560,2024-11-08 11:31:43
560,2024-11-08 11:36:05
560,2024-11-08 11:36:16
560,2024-11-08 11:36:28
560,2024-11-08 11:40:49
560,2024-11-08 11:41:00
560,2024-11-08 11:41:12
560,2024-11-08 11:45:34
560,2024-11-08 11:45:45
560,2024-11-08 11:45:57
560,2024-11-08 11:50:18
560,2024-11-08 11:50:29
560,2024-11-08 11:50:41
560,2024-11-08 11:55:02
560,2024-11-08 11:55:14
560,2024-11-08 11:55:25
560,2024-11-08 11:59:47
560,2024-11-08 11:59:58
560,2024-11-08 12:00:10
570,2024-11-08 12:04:31
570,2024-11-08 12:04:43
570,2024-11-08 12:04:54
570,2024-11-08 12:09:15
570,2024-11-08 12:09:26
570,2024-11-08 12:09:38
560,2024-11-08 12:14:11
560,2024-11-08 12:14:22
560,2024-11-08 12:18:43
560,2024-11-08 12:18:55
560,2024-11-08 12:19:06
560,2024-11-08 12:23:28
560,2024-11-08 12:23:40
560,2024-11-08 12:23:51
570,2024-11-08 12:28:20
570,2024-11-08 12:28:31
570,2024-11-08 12:28:43
570,2024-11-08 12:33:05
570,2024-11-08 12:33:16
570,2024-11-08 12:33:28
570,2024-11-08 12:37:50
570,2024-11-08 12:38:01
570,2024-11-08 12:38:13
570,2024-11-08 12:42:46
570,2024-11-08 12:42:58
570,2024-11-08 12:47:20
570,2024-11-08 12:47:31
570,2024-11-08 12:47:43
560,2024-11-08 12:52:04
560,2024-11-08 12:52:16
560,2024-11-08 12:52:27
570,2024-11-08 12:56:49
570,2024-11-08 12:57:00
570,2024-11-08 12:57:12
570,2024-11-08 13:01:33
570,2024-11-08 13:01:45
570,2024-11-08 13:01:56
560,2024-11-08 13:06:18
560,2024-11-08 13:06:30
560,2024-11-08 13:06:41
560,2024-11-08 13:11:03
560,2024-11-08 13:11:15
560,2024-11-08 13:11:26
560,2024-11-08 13:15:48
560,2024-11-08 13:16:00
560,2024-11-08 13:16:11
560,2024-11-08 13:20:33
560,2024-11-08 13:20:45
560,2024-11-08 13:20:56
560,2024-11-08 13:25:18
560,2024-11-08 13:25:30
560,2024-11-08 13:25:41
560,2024-11-08 13:30:03
560,2024-11-08 13:30:14
560,2024-11-08 13:30:26
560,2024-11-08 13:34:48
560,2024-11-08 13:34:59
560,2024-11-08 13:35:11
550,2024-11-08 13:44:15
550,2024-11-08 13:44:26
550,2024-11-08 13:44:38
550,2024-11-08 13:49:00
550,2024-11-08 13:49:11
550,2024-11-08 13:49:23
550,2024-11-08 13:53:44
550,2024-11-08 13:53:56
550,2024-11-08 13:54:07
550,2024-11-08 13:58:29
550,2024-11-08 13:58:41
550,2024-11-08 13:58:52
550,2024-11-08 14:03:14
550,2024-11-08 14:03:25
550,2024-11-08 14:03:37
550,2024-11-08 14:12:40
550,2024-11-08 14:12:52
550,2024-11-08 14:13:03
550,2024-11-08 14:17:25
550,2024-11-08 14:17:36
550,2024-11-08 14:17:48
540,2024-11-08 14:22:10
540,2024-11-08 14:22:21
540,2024-11-08 14:22:33
540,2024-11-08 14:26:54
540,2024-11-08 14:27:06
540,2024-11-08 14:27:17
530,2024-11-08 14:31:39
530,2024-11-08 14:31:51
530,2024-11-08 14:32:02
530,2024-11-08 14:36:24
530,2024-11-08 14:36:36
530,2024-11-08 14:36:47
530,2024-11-08 14:41:09
530,2024-11-08 14:41:20
530,2024-11-08 14:41:32
530,2024-11-08 14:45:54
530,2024-11-08 14:46:05
530,2024-11-08 14:46:17
520,2024-11-08 14:50:39
520,2024-11-08 14:50:50
520,2024-11-08 14:51:02
520,2024-11-08 14:55:23
520,2024-11-08 14:55:35
520,2024-11-08 14:55:46
520,2024-11-08 15:00:08
520,2024-11-08 15:00:20
520,2024-11-08 15:00:31
520,2024-11-08 15:09:34
520,2024-11-08 15:09:46
520,2024-11-08 15:09:57
520,2024-11-08 15:14:19
520,2024-11-08 15:14:30
520,2024-11-08 15:14:42
520,2024-11-08 15:19:04
520,2024-11-08 15:19:15
520,2024-11-08 15:19:27
520,2024-11-08 15:23:55
520,2024-11-08 15:24:07
520,2024-11-08 15:24:18
520,2024-11-08 15:28:40
520,2024-11-08 15:28:52
520,2024-11-08 15:29:03
520,2024-11-08 15:33:25
520,2024-11-08 15:33:37
520,2024-11-08 15:33:48
530,2024-11-08 15:38:11
530,2024-11-08 15:38:22
530,2024-11-08 15:38:34
530,2024-11-08 15:42:56
530,2024-11-08 15:43:07
530,2024-11-08 15:43:19
530,2024-11-08 15:47:42
530,2024-11-08 15:47:54
530,2024-11-08 15:48:05
530,2024-11-08 15:52:27
530,2024-11-08 15:52:39
530,2024-11-08 15:52:50
530,2024-11-08 15:57:12
530,2024-11-08 15:57:23
530,2024-11-08 15:57:35
540,2024-11-08 16:02:08
540,2024-11-08 16:02:19
540,2024-11-08 16:06:40
540,2024-11-08 16:06:51
540,2024-11-08 16:07:03
540,2024-11-08 16:11:24
540,2024-11-08 16:11:35
540,2024-11-08 16:11:47
540,2024-11-08 16:16:08
540,2024-11-08 16:16:19
540,2024-11-08 16:16:31
540,2024-11-08 16:20:52
540,2024-11-08 16:21:03
540,2024-11-08 16:21:15
540,2024-11-08 16:25:35
540,2024-11-08 16:25:47
540,2024-11-08 16:25:59
540,2024-11-08 16:30:19
540,2024-11-08 16:30:31
540,2024-11-08 16:30:42
540,2024-11-08 16:35:03
540,2024-11-08 16:35:14
540,2024-11-08 16:35:26
540,2024-11-08 16:39:47
540,2024-11-08 16:39:58
540,2024-11-08 16:40:10
550,2024-11-08 16:49:11
550,2024-11-08 16:49:23
550,2024-11-08 16:49:34
550,2024-11-08 16:53:56
550,2024-11-08 16:54:07
550,2024-11-08 16:54:19
550,2024-11-08 16:58:40
550,2024-11-08 16:58:52
550,2024-11-08 16:59:03
550,2024-11-08 17:03:25
550,2024-11-08 17:03:37
550,2024-11-08 17:03:48
550,2024-11-08 17:08:10
550,2024-11-08 17:08:22
550,2024-11-08 17:08:33
550,2024-11-08 17:12:55
550,2024-11-08 17:13:06
550,2024-11-08 17:13:18
560,2024-11-08 17:17:40
560,2024-11-08 17:17:52
560,2024-11-08 17:18:03
560,2024-11-08 17:22:37
560,2024-11-08 17:22:48
560,2024-11-08 17:27:10
560,2024-11-08 17:27:22
560,2024-11-08 17:27:33
560,2024-11-08 17:31:55
560,2024-11-08 17:32:07
560,2024-11-08 17:32:18
560,2024-11-08 17:36:41
560,2024-11-08 17:36:52
