value,timestamp
0,2024-11-17 00:02:45
0,2024-11-17 00:02:56
0,2024-11-17 00:03:08
0,2024-11-17 00:07:30
0,2024-11-17 00:07:41
0,2024-11-17 00:07:53
0,2024-11-17 00:12:15
0,2024-11-17 00:12:26
0,2024-11-17 00:12:38
0,2024-11-17 00:17:00
0,2024-11-17 00:17:11
0,2024-11-17 00:17:23
0,2024-11-17 00:21:45
0,2024-11-17 00:21:56
0,2024-11-17 00:22:08
0,2024-11-17 00:26:30
0,2024-11-17 00:26:41
0,2024-11-17 00:26:53
0,2024-11-17 00:31:15
0,2024-11-17 00:31:26
0,2024-11-17 00:31:38
0,2024-11-17 00:36:00
0,2024-11-17 00:36:12
0,2024-11-17 00:36:23
0,2024-11-17 00:40:45
0,2024-11-17 00:40:57
0,2024-11-17 00:41:08
0,2024-11-17 00:45:30
0,2024-11-17 00:45:41
0,2024-11-17 00:45:53
0,2024-11-17 00:50:15
0,2024-11-17 00:50:26
0,2024-11-17 00:50:38
0,2024-11-17 00:55:00
0,2024-11-17 00:55:11
0,2024-11-17 00:55:23
0,2024-11-17 00:59:44
0,2024-11-17 00:59:56
0,2024-11-17 01:00:07
0,2024-11-17 01:04:29
0,2024-11-17 01:04:41
0,2024-11-17 01:04:52
0,2024-11-17 01:09:14
0,2024-11-17 01:09:26
0,2024-11-17 01:09:37
0,2024-11-17 01:13:59
0,2024-11-17 01:14:10
0,2024-11-17 01:14:22
0,2024-11-17 01:18:44
0,2024-11-17 01:18:55
0,2024-11-17 01:19:07
0,2024-11-17 01:23:29
0,2024-11-17 01:23:40
0,2024-11-17 01:23:52
0,2024-11-17 01:28:13
0,2024-11-17 01:28:25
0,2024-11-17 01:28:36
0,2024-11-17 01:32:58
0,2024-11-17 01:33:10
0,2024-11-17 01:33:21
0,2024-11-17 01:37:44
0,2024-11-17 01:37:55
0,2024-11-17 01:38:07
0,2024-11-17 01:42:28
0,2024-11-17 01:42:40
0,2024-11-17 01:42:51
0,2024-11-17 01:47:13
0,2024-11-17 01:47:25
0,2024-11-17 01:47:36
0,2024-11-17 01:51:58
0,2024-11-17 01:52:09
0,2024-11-17 01:52:21
0,2024-11-17 01:56:43
0,2024-11-17 01:56:55
0,2024-11-17 01:57:06
0,2024-11-17 02:01:28
0,2024-11-17 02:01:40
0,2024-11-17 02:01:51
0,2024-11-17 02:06:13
0,2024-11-17 02:06:25
0,2024-11-17 02:06:36
0,2024-11-17 02:10:58
0,2024-11-17 02:11:09
0,2024-11-17 02:11:21
0,2024-11-17 02:15:44
0,2024-11-17 02:15:55
0,2024-11-17 02:16:07
0,2024-11-17 02:20:29
0,2024-11-17 02:20:40
0,2024-11-17 02:20:52
0,2024-11-17 02:25:13
0,2024-11-17 02:25:25
0,2024-11-17 02:25:36
0,2024-11-17 02:29:58
0,2024-11-17 02:30:10
0,2024-11-17 02:30:21
0,2024-11-17 02:34:43
0,2024-11-17 02:34:55
0,2024-11-17 02:35:06
0,2024-11-17 02:39:28
0,2024-11-17 02:39:39
0,2024-11-17 02:39:51
0,2024-11-17 02:44:13
0,2024-11-17 02:44:24
0,2024-11-17 02:44:36
0,2024-11-17 02:48:57
0,2024-11-17 02:49:09
0,2024-11-17 02:49:21
0,2024-11-17 02:53:42
0,2024-11-17 02:53:54
0,2024-11-17 02:54:05
0,2024-11-17 02:58:27
0,2024-11-17 02:58:38
0,2024-11-17 02:58:50
0,2024-11-17 03:03:12
0,2024-11-17 03:03:23
0,2024-11-17 03:03:35
0,2024-11-17 03:07:56
0,2024-11-17 03:08:08
0,2024-11-17 03:08:19
0,2024-11-17 03:12:41
0,2024-11-17 03:12:53
0,2024-11-17 03:13:04
0,2024-11-17 03:17:26
